时间,累计确诊,累计治愈,累计死亡,剩余确诊,今日确诊,今日疑似
2020/1/13,41,0,1,0,0,0
2020/1/14,41,0,1,0,0,0
2020/1/15,41,5,2,0,0,0
2020/1/16,45,8,2,0,0,0
2020/1/17,62,12,2,0,0,0
2020/1/18,198,17,3,0,0,0
2020/1/19,275,18,4,0,0,0
2020/1/20,291,25,6,291,77,27
2020/1/21,440,25,9,431,149,53
2020/1/22,574,25,17,557,131,257
2020/1/23,835,34,25,776,259,680
2020/1/24,1297,38,41,1218,444,1118
2020/1/25,1985,49,56,1880,688,1309
2020/1/26,2761,51,80,2630,769,3806
2020/1/27,4535,60,106,4369,1771,2077
2020/1/28,5997,103,132,5762,1459,3248
2020/1/29,7736,124,170,7442,1737,4148
2020/1/30,9720,171,213,9336,1982,4812
2020/1/31,11821,243,259,11319,2102,5019
2020/2/1,14411,328,304,13779,2590,4562
2020/2/2,17238,475,361,16402,2829,5173
2020/2/3,20471,632,425,19414,3235,5072
2020/2/4,24363,892,491,22980,3893,3971
2020/2/5,28060,1153,564,26343,3697,5328
2020/2/6,31211,1542,637,29032,3143,4833
2020/2/7,34598,2052,723,31823,3401,4214
2020/2/8,37251,2651,812,33788,2656,3916
2020/2/9,40235,3283,909,36043,3062,4008
2020/2/10,42708,3998,1017,37693,2484,3536
2020/2/11,44730,4742,1114,38874,2022,3342
2020/2/12,59882,5915,1368,52599,15153,2807
2020/2/13,63932,6728,1381,55823,5093,2450
2020/2/14,66576,8101,1524,56951,2644,2277
2020/2/15,68584,9425,1666,57493,2009,1918
2020/2/16,70635,10853,1772,58010,2051,1563
2020/2/17,72528,12561,1870,58097,1891,1432
2020/2/18,74279,14387,2006,57886,1751,1185
2020/2/19,75002,16157,2121,56386,820,1277
2020/2/20,75993,18266,2239,55051,892,1614
2020/2/21,76392,20673,2348,53371,399,1361
2020/2/22,77041,22907,2445,51689,649,882
2020/2/23,77262,24757,2595,49910,416,620
2020/2/24,77779,27353,2666,47760,517,530
2020/2/25,78190,29775,2718,45697,411,439
2020/2/26,78630,32531,2747,43352,440,508
2020/2/27,78959,36157,2791,40011,329,452
2020/2/28,79389,39049,2838,37502,430,248
2020/2/29,79968,41675,2873,35420,579,132
2020/3/1,80174,44518,2915,32741,206,141
2020/3/2,80302,47260,2946,30096,128,129
2020/3/3,80422,49914,2984,27524,120,143
2020/3/4,80565,52109,3015,25441,143,143
2020/3/5,80710,53793,3045,23872,145,102
2020/3/6,80813,55477,3073,22263,103,99
2020/3/7,80859,57143,3100,20616,46,84
2020/3/8,80904,58684,3123,19097,45,60
2020/3/9,80924,59982,3140,17802,20,36
2020/3/10,80955,61567,3162,16226,31,31
2020/3/11,80992,62887,3173,14920,25,33
2020/3/12,81003,64216,3180,13607,11,33
2020/3/13,81021,65649,3194,12178,18,17
2020/3/14,81048,67022,3204,10822,27,39
2020/3/15,81077,67863,3218,9996,29,41
2020/3/16,81116,68799,3231,9086,39,45
2020/3/17,81151,69725,3242,8184,35,21
2020/3/18,81235,70547,3250,7438,84,23
2020/3/19,81300,71284,3253,6763,65,31
2020/3/20,81416,71876,3261,6013,116,36
2020/3/21,81498,72382,3267,5849,82,45
2020/3/22,81600,72841,3276,5483,102,47
2020/3/23,81747,73299,3283,5165,147,35
2020/3/24,81846,73791,3287,4768,99,33
2020/3/25,81960,74196,3293,4471,114,58
2020/3/26,82078,74737,3298,4043,118,49
2020/3/27,82213,75122,3301,3790,135,29
2020/3/28,82341,75600,3306,3435,128,28
2020/3/29,82447,75937,3311,3199,106,17
2020/3/30,82545,76225,3314,3006,98,44
2020/3/31,82631,76415,3321,2895,86,26
2020/4/1,82724,76610,3327,2787,93,20
2020/4/2,82802,76785,3331,2686,78,12
2020/4/3,82861,76984,3335,2556,73,11
2020/4/4,82930,77210,3338,2382,55,11
2020/4/5,83005,77348,3340,2317,75,10
2020/4/6,83071,77450,3340,2281,66,12
2020/4/7,83157,77586,3342,2229,86,12
2020/4/8,83249,77711,3344,2194,92,17
2020/4/9,83305,77838,3345,2122,56,3
2020/4/10,83369,77935,3349,2085,64,8
2020/4/11,83482,78020,3349,2113,113,49
2020/4/12,83602,78145,3351,2106,115,6
2020/4/13,83696,78262,3351,2083,99,3
2020/4/14,83745,78389,3352,2004,49,11
2020/4/15,83797,78504,3352,1941,52,4
2020/4/16,83824,78600,3352,1872,27,3
2020/4/17,84180,77744,4642,1794,31,5
2020/4/18,84201,77825,4642,1734,21,2
2020/4/19,84237,77895,4642,1700,36,2
2020/4/20,84250,77978,4642,1630,13,3
2020/4/21,84287,78042,4642,1603,37,3
2020/4/22,84302,78147,4642,1513,15,0
2020/4/23,84311,78236,4642,1433,9,2
2020/4/24,84324,78362,4642,1320,13,3
2020/4/25,84338,78450,4642,1246,14,0
2020/4/26,84341,78558,4643,1140,3,5
2020/4/27,84347,78664,4643,1040,6,1
2020/4/28,84369,78729,4643,997,22,2
2020/4/29,84373,78785,4643,945,4,3
2020/4/30,84385,78845,4643,897,12,3
2020/5/1,84388,78905,4643,840,3,2
2020/5/2,84393,78939,4643,811,5,0
2020/5/3,84400,79016,4643,741,7,1
2020/5/4,84404,79126,4643,635,4,0
2020/5/5,84406,79204,4643,559,2,3
2020/5/6,84409,79268,4643,498,3,2
2020/5/7,84415,79324,4643,448,6,3
2020/5/8,84416,79401,4643,372,1,2
2020/5/9,84430,79488,4643,299,14,1
2020/5/10,84450,79533,4643,274,20,0
2020/5/11,84451,79566,4644,241,1,1
2020/5/12,84458,79594,4644,220,7,1
2020/5/13,84464,79621,4644,199,6,0
2020/5/14,84469,79644,4644,181,5,1
2020/5/15,84478,79668,4644,166,9,2
2020/5/16,84484,79682,4645,157,5,2
2020/5/17,84494,79701,4645,148,10,1
2020/5/18,84500,79708,4645,147,6,1
2020/5/19,84505,79715,4645,145,5,3
2020/5/20,84507,79722,4645,140,2,1
2020/5/21,84520,79736,4645,139,13,1
2020/5/22,84522,79740,4645,137,2,2
2020/5/23,84525,79746,4645,134,3,3
2020/5/24,84536,79757,4645,134,11,0
2020/5/25,84543,79767,4645,131,7,0
2020/5/26,84544,79774,4645,125,1,1
2020/5/27,84547,79786,4645,116,3,0
2020/5/28,84547,79791,4645,111,0,0
2020/5/29,84565,79802,4645,118,18,1
2020/5/30,84570,79806,4645,119,5,0
2020/5/31,84588,79812,4645,131,18,0
2020/6/1,84597,79824,4645,128,9,0
2020/6/2,84602,79824,4645,133,7,1
2020/6/3,84603,79831,4645,127,1,0
2020/6/4,84614,79842,4645,127,11,0
2020/6/5,84620,79848,4645,127,6,1
2020/6/6,84629,79854,4645,130,9,2
2020/6/7,84634,79865,4645,124,5,1
2020/6/8,84638,79875,4645,118,4,0
2020/6/9,84641,79883,4645,113,3,0
2020/6/10,84652,79888,4645,119,11,0
2020/6/11,84659,79896,4645,118,7,0
2020/6/12,84671,79903,4645,123,11,0
2020/6/13,84729,79906,4645,178,58,1
2020/6/14,84778,79913,4645,220,49,1
2020/6/15,84823,79922,4645,256,45,3
2020/6/16,84867,79926,4645,296,44,3
2020/6/17,84903,79944,4645,314,36,3
2020/6/18,84940,79949,4645,346,37,2
2020/6/19,84970,79963,4645,362,30,4
2020/6/20,84997,79969,4645,382,27,3
2020/6/21,85018,79970,4646,402,21,2
2020/6/22,85070,79983,4646,441,52,2
2020/6/23,85098,79991,4647,460,28,4
2020/6/24,85119,79999,4647,473,21,0
2020/6/25,85148,80007,4648,493,29,3
2020/6/26,85172,80015,4648,509,24,1
2020/6/27,85190,80026,4648,516,18,1
2020/6/28,85204,80044,4648,512,14,4
2020/6/29,85227,80054,4648,525,23,1
2020/6/30,85232,80068,4648,516,5,2
