时间,累计确诊,累计治愈,累计死亡,剩余确诊,今日确诊,今日疑似
2020/7/1,85263,80087,4648,528,31,0
2020/7/2,85278,80102,4648,528,15,1
2020/7/3,85287,80117,4648,522,9,2
2020/7/4,85306,80144,4648,514,19,1
2020/7/5,85320,80157,4648,515,14,0
2020/7/6,85345,80168,4648,529,25,2
2020/7/7,85366,80192,4648,526,21,0
2020/7/8,85399,80240,4648,511,33,0
2020/7/9,85445,80268,4648,529,46,3
2020/7/10,85487,80293,4648,546,42,0
2020/7/11,85522,80314,4648,560,35,0
2020/7/12,85568,80345,4648,575,46,0
2020/7/13,85623,80376,4649,598,55,0
2020/7/14,85677,80407,4649,621,54,0
2020/7/15,85697,80445,4651,601,20,0
2020/7/16,85775,80476,4651,648,78,1
2020/7/17,85857,80508,4652,697,82,1
