日期,累计确诊,累计治愈,累计死亡,剩余确诊,今日确诊,今日治愈,省份
2020/1/20,270,25,6,239,0,0,湖北
2020/1/21,375,28,9,338,105,3,湖北
2020/1/22,444,28,17,399,69,0,湖北
2020/1/23,549,31,24,494,105,3,湖北
2020/1/24,729,32,39,658,180,1,湖北
2020/1/25,1052,42,52,958,323,10,湖北
2020/1/26,1423,44,76,1303,371,2,湖北
2020/1/27,2714,47,100,2567,1291,3,湖北
2020/1/28,3554,80,125,3349,840,33,湖北
2020/1/29,4586,90,162,4334,1032,10,湖北
2020/1/30,5806,116,204,5486,1220,26,湖北
2020/1/31,7153,166,249,6738,1347,50,湖北
2020/2/1,9074,215,294,8565,1921,49,湖北
2020/2/2,11177,295,350,10532,2103,80,湖北
2020/2/3,13522,396,414,12712,2345,101,湖北
2020/2/4,16678,520,479,15679,3156,124,湖北
2020/2/5,19655,633,549,18473,2987,113,湖北
2020/2/6,22112,817,618,20677,2447,184,湖北
2020/2/7,24953,1115,699,23139,2841,298,湖北
2020/2/8,27100,1439,780,24881,2147,324,湖北
2020/2/9,29631,1795,871,26965,2618,356,湖北
2020/2/10,31728,2222,974,28532,2097,427,湖北
2020/2/11,33366,2639,1068,29659,1638,417,湖北
2020/2/12,48206,3441,1310,43455,14840,802,湖北
2020/2/13,51986,4131,1318,46537,4823,690,湖北
2020/2/14,54406,4774,1457,48175,2420,643,湖北
2020/2/15,56249,5623,1596,49030,1843,849,湖北
2020/2/16,58182,6639,1696,49847,1933,1016,湖北
2020/2/17,59989,7862,1789,50338,1807,1223,湖北
2020/2/18,61682,9128,1921,50633,1693,1266,湖北
2020/2/19,62457,10337,2029,50091,775,1209,湖北
2020/2/20,63088,11788,2144,49156,631,1451,湖北
2020/2/21,63454,13557,2250,47647,366,1769,湖北
2020/2/22,64084,15299,2346,46439,630,1742,湖北
2020/2/23,64287,16738,2495,45054,398,1439,湖北
2020/2/24,64786,18854,2563,43369,499,2116,湖北
2020/2/25,65187,20912,2615,41660,401,2058,湖北
2020/2/26,65596,23200,2641,39755,409,2288,湖北
2020/2/27,65914,26403,2682,36829,318,3203,湖北
2020/2/28,66337,28895,2727,34715,423,2492,湖北
2020/2/29,66907,31187,2761,32959,570,2292,湖北
2020/3/1,67103,33757,2803,30543,196,2570,湖北
2020/3/2,67217,36167,2834,28216,114,2410,湖北
2020/3/3,67332,38556,2871,25905,115,2389,湖北
2020/3/4,67466,40479,2902,24085,134,1923,湖北
2020/3/5,67592,41966,2931,22695,126,1487,湖北
2020/3/6,67666,43468,2959,21239,74,1502,湖北
2020/3/7,67707,45011,2986,19710,41,1543,湖北
2020/3/8,67743,46433,3007,18303,36,1422,湖北
2020/3/9,67760,47585,3024,17151,17,1152,湖北
2020/3/10,67773,49056,3046,15671,13,1471,湖北
2020/3/11,67781,50298,3056,14427,8,1242,湖北
